epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2160.92,0.78462,0.788,1.24115,0.89671,0.82581,0.90174,0.70693,0.85821,0.68972,1.36096,0.00114853,0.00114853,0.00114853
43,2212.4,0.81011,0.81378,1.24521,0.85641,0.77734,0.87107,0.68704,0.83242,0.72193,1.35652,0.00114605,0.00114605,0.00114605
44,2263.72,0.77112,0.77285,1.22336,0.86501,0.81613,0.88467,0.69039,0.88382,0.96251,1.39431,0.00114357,0.00114357,0.00114357
45,2315.05,0.80418,0.79246,1.246,0.86556,0.7838,0.88803,0.70477,0.84142,0.73427,1.37095,0.0011411,0.0011411,0.0011411
46,2366.28,0.80763,0.79845,1.2422,0.90164,0.79002,0.90253,0.69915,0.95929,0.7244,1.44294,0.00113863,0.00113863,0.00113863
47,2417.53,0.78332,0.76006,1.23774,0.82195,0.8528,0.89376,0.70017,0.86279,0.69933,1.36265,0.00113615,0.00113615,0.00113615
48,2468.93,0.7539,0.74455,1.21378,0.87011,0.78736,0.87718,0.69896,0.80958,0.76668,1.3211,0.00113368,0.00113368,0.00113368
49,2520.27,0.74214,0.75748,1.20496,0.89102,0.81215,0.88992,0.70068,0.89852,0.71011,1.38495,0.0011312,0.0011312,0.0011312
50,2571.63,0.79479,0.76479,1.23447,0.89904,0.80166,0.88714,0.69968,0.88568,0.85242,1.37248,0.00112873,0.00112873,0.00112873
51,2622.91,0.76873,0.75829,1.23037,0.90526,0.81998,0.90229,0.71394,0.83689,0.6348,1.33352,0.00112625,0.00112625,0.00112625
52,2674.37,0.7628,0.72813,1.21963,0.88401,0.83764,0.8984,0.71364,0.86393,0.68568,1.35804,0.00112378,0.00112378,0.00112378
53,2725.71,0.74976,0.73829,1.21354,0.89007,0.83518,0.8926,0.72769,0.81811,0.98941,1.35098,0.0011213,0.0011213,0.0011213
54,2777.25,0.73879,0.70152,1.20392,0.90317,0.81038,0.90301,0.72655,0.89646,0.60628,1.31773,0.00111882,0.00111882,0.00111882
55,2828.77,0.75328,0.70311,1.20552,0.83605,0.86131,0.89966,0.71656,0.83702,0.75526,1.37222,0.00111635,0.00111635,0.00111635
56,2880.16,0.7362,0.70446,1.2024,0.91134,0.818,0.90838,0.73426,0.80755,0.63993,1.29783,0.00111388,0.00111388,0.00111388
57,2931.64,0.74412,0.72656,1.20991,0.86978,0.80074,0.89699,0.7209,0.86366,0.70692,1.31144,0.0011114,0.0011114,0.0011114
58,2982.85,0.74117,0.72284,1.19264,0.8562,0.85297,0.91546,0.73184,0.84004,0.61199,1.28333,0.00110892,0.00110892,0.00110892
59,3034.11,0.73521,0.71266,1.20703,0.89841,0.83068,0.9131,0.73918,0.80213,0.59832,1.29791,0.00110645,0.00110645,0.00110645
60,3085.62,0.71259,0.67861,1.18967,0.92303,0.83078,0.90392,0.73226,0.8457,0.60745,1.31489,0.00110397,0.00110397,0.00110397
61,3136.87,0.7296,0.71524,1.1953,0.90067,0.82838,0.90791,0.73735,0.78862,0.63051,1.26131,0.0011015,0.0011015,0.0011015
