epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
74,750.729,2.14135,0.5317,0.8232,1.7041,0.0063865,0.0063865,0.0063865
75,761.056,2.14678,0.5316,0.8236,1.69629,0.006337,0.006337,0.006337
76,770.961,2.13603,0.5324,0.8244,1.6959,0.0062875,0.0062875,0.0062875
77,781.484,2.12446,0.5325,0.8241,1.68821,0.006238,0.006238,0.006238
78,792.019,2.12976,0.5329,0.8241,1.69465,0.0061885,0.0061885,0.0061885
79,802.554,2.11629,0.5332,0.8241,1.68301,0.006139,0.006139,0.006139
80,813.023,2.10346,0.534,0.8244,1.69629,0.0060895,0.0060895,0.0060895
81,823.389,2.09926,0.5338,0.8246,1.69072,0.00604,0.00604,0.00604
82,833.199,2.09536,0.5344,0.8237,1.69355,0.0059905,0.0059905,0.0059905
83,842.973,2.08067,0.5352,0.8237,1.68103,0.005941,0.005941,0.005941
84,853.209,2.08196,0.536,0.824,1.68943,0.0058915,0.0058915,0.0058915
85,863.501,2.08623,0.5359,0.8243,1.70859,0.005842,0.005842,0.005842
86,873.609,2.09094,0.536,0.8244,1.68977,0.0057925,0.0057925,0.0057925
87,883.567,2.08655,0.5357,0.8245,1.67822,0.005743,0.005743,0.005743
88,893.447,2.07653,0.5362,0.8251,1.68032,0.0056935,0.0056935,0.0056935
89,903.567,2.06353,0.5367,0.8258,1.67236,0.005644,0.005644,0.005644
90,913.702,2.05473,0.5382,0.8262,1.66782,0.0055945,0.0055945,0.0055945
91,923.415,2.04512,0.5388,0.826,1.67283,0.005545,0.005545,0.005545
92,933.85,2.03779,0.5405,0.8269,1.67261,0.0054955,0.0054955,0.0054955
93,944.594,2.03677,0.5403,0.8268,1.68972,0.005446,0.005446,0.005446
94,954.391,2.02596,0.5403,0.8277,1.67046,0.0053965,0.0053965,0.0053965
95,964.422,2.036,0.5424,0.8276,1.66895,0.005347,0.005347,0.005347
96,974.433,2.01049,0.5431,0.8278,1.68933,0.0052975,0.0052975,0.0052975
97,984.716,2.02365,0.544,0.828,1.66941,0.005248,0.005248,0.005248
98,994.656,2.01007,0.5448,0.8284,1.67651,0.0051985,0.0051985,0.0051985
99,1004.35,2.00496,0.545,0.828,1.68364,0.005149,0.005149,0.005149
100,1014.23,1.99986,0.5443,0.8292,1.65364,0.0050995,0.0050995,0.0050995
101,1024.44,1.99821,0.5451,0.8285,1.67229,0.00505,0.00505,0.00505
102,1034.12,1.98331,0.5459,0.8293,1.66448,0.0050005,0.0050005,0.0050005
103,1044.1,1.98127,0.5463,0.8289,1.66711,0.004951,0.004951,0.004951
104,1053.73,1.97462,0.5464,0.83,1.67097,0.0049015,0.0049015,0.0049015
105,1063.66,1.97242,0.5478,0.8295,1.65081,0.004852,0.004852,0.004852
106,1073.83,1.9663,0.5483,0.8299,1.63962,0.0048025,0.0048025,0.0048025
107,1083.77,1.96174,0.5495,0.8298,1.64768,0.004753,0.004753,0.004753
108,1093.46,1.95924,0.5503,0.8294,1.65586,0.0047035,0.0047035,0.0047035
109,1103.45,1.95076,0.5509,0.8299,1.64995,0.004654,0.004654,0.004654
110,1113.41,1.93631,0.5512,0.8307,1.63975,0.0046045,0.0046045,0.0046045
111,1123.88,1.9387,0.5526,0.8316,1.63811,0.004555,0.004555,0.004555
112,1134.27,1.93434,0.5538,0.8304,1.64326,0.0045055,0.0045055,0.0045055
113,1144.75,1.94487,0.5542,0.8306,1.63057,0.004456,0.004456,0.004456
114,1154.97,1.93644,0.5544,0.8307,1.64277,0.0044065,0.0044065,0.0044065
115,1165.62,1.90706,0.5546,0.8316,1.62664,0.004357,0.004357,0.004357
116,1175.79,1.9093,0.5557,0.8315,1.64509,0.0043075,0.0043075,0.0043075
117,1186.25,1.89753,0.5554,0.8318,1.64717,0.004258,0.004258,0.004258
118,1196.43,1.874,0.5563,0.8315,1.62903,0.0042085,0.0042085,0.0042085
119,1206.29,1.88981,0.5572,0.8313,1.62473,0.004159,0.004159,0.004159
120,1216.39,1.87602,0.5587,0.8323,1.63037,0.0041095,0.0041095,0.0041095
121,1226.19,1.86682,0.5576,0.8322,1.62637,0.00406,0.00406,0.00406
122,1236.18,1.85509,0.5583,0.8323,1.63828,0.0040105,0.0040105,0.0040105
123,1246.81,1.8636,0.5586,0.8316,1.62952,0.003961,0.003961,0.003961
124,1257.2,1.84576,0.559,0.8325,1.60974,0.0039115,0.0039115,0.0039115
125,1267.46,1.84711,0.5602,0.8322,1.60867,0.003862,0.003862,0.003862
126,1277.55,1.8316,0.5592,0.8326,1.61387,0.0038125,0.0038125,0.0038125
127,1288.04,1.82411,0.5595,0.8324,1.62698,0.003763,0.003763,0.003763
128,1298.19,1.82537,0.5598,0.8327,1.61887,0.0037135,0.0037135,0.0037135
129,1308.39,1.81007,0.5602,0.8328,1.61631,0.003664,0.003664,0.003664
130,1318.27,1.80784,0.5611,0.8326,1.61118,0.0036145,0.0036145,0.0036145
131,1327.78,1.8027,0.562,0.8331,1.60305,0.003565,0.003565,0.003565
132,1337.23,1.79735,0.5631,0.8329,1.60676,0.0035155,0.0035155,0.0035155
133,1346.84,1.80205,0.5628,0.834,1.60684,0.003466,0.003466,0.003466
134,1356.25,1.77892,0.5641,0.8345,1.61875,0.0034165,0.0034165,0.0034165
