epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.4888,1.15497,0.5295,0.7996,1.91506,0.00332481,0.00332481,0.00332481
2,21.1199,1.50041,0.4867,0.787,1.98354,0.00662518,0.00662518,0.00662518
3,31.5189,2.16214,0.3415,0.639,2.79468,0.00989256,0.00989256,0.00989256
4,41.5044,2.5666,0.3579,0.6672,2.55908,0.0098515,0.0098515,0.0098515
5,50.663,2.48038,0.4027,0.7125,2.37515,0.009802,0.009802,0.009802
6,60.0319,2.41017,0.429,0.7279,2.21724,0.0097525,0.0097525,0.0097525
7,69.6768,2.36905,0.4237,0.7328,2.20828,0.009703,0.009703,0.009703
8,80.2768,2.32876,0.4187,0.7317,2.30737,0.0096535,0.0096535,0.0096535
9,90.627,2.30896,0.431,0.7402,2.19397,0.009604,0.009604,0.009604
10,101.034,2.29413,0.4511,0.7577,2.09495,0.0095545,0.0095545,0.0095545
11,110.284,2.28176,0.4342,0.7382,2.18738,0.009505,0.009505,0.009505
12,119.958,2.26037,0.4649,0.7637,2.05525,0.0094555,0.0094555,0.0094555
13,129.163,2.25409,0.4711,0.7684,2.00762,0.009406,0.009406,0.009406
14,138.639,2.24872,0.4842,0.7783,1.9397,0.0093565,0.0093565,0.0093565
15,148.705,2.24521,0.4683,0.7692,2.06355,0.009307,0.009307,0.009307
16,158.131,2.25234,0.4648,0.7628,2.0438,0.0092575,0.0092575,0.0092575
17,167.654,2.24606,0.4798,0.7805,1.9448,0.009208,0.009208,0.009208
18,177.325,2.21775,0.4904,0.7835,1.90005,0.0091585,0.0091585,0.0091585
19,186.98,2.235,0.4958,0.7808,1.91426,0.009109,0.009109,0.009109
20,197.062,2.2249,0.4929,0.7952,1.8885,0.0090595,0.0090595,0.0090595
21,206.933,2.22212,0.5028,0.7987,1.83075,0.00901,0.00901,0.00901
22,217.186,2.20386,0.5052,0.8011,1.85337,0.0089605,0.0089605,0.0089605
23,226.474,2.20518,0.5092,0.7988,1.84346,0.008911,0.008911,0.008911
24,236.585,2.19639,0.519,0.8066,1.76431,0.0088615,0.0088615,0.0088615
25,246.414,2.20146,0.511,0.8054,1.79758,0.008812,0.008812,0.008812
26,256.179,2.18003,0.5178,0.81,1.77764,0.0087625,0.0087625,0.0087625
27,266.036,2.18452,0.5186,0.8084,1.77148,0.008713,0.008713,0.008713
28,275.298,2.1825,0.5229,0.8087,1.73947,0.0086635,0.0086635,0.0086635
29,284.454,2.17235,0.523,0.8114,1.78179,0.008614,0.008614,0.008614
30,294.012,2.17498,0.5277,0.8118,1.76135,0.0085645,0.0085645,0.0085645
31,303.506,2.15782,0.5338,0.8128,1.72832,0.008515,0.008515,0.008515
32,312.943,2.17026,0.5307,0.8168,1.71565,0.0084655,0.0084655,0.0084655
33,322.637,2.15166,0.5331,0.8188,1.72688,0.008416,0.008416,0.008416
34,332.294,2.16813,0.5354,0.8223,1.70876,0.0083665,0.0083665,0.0083665
35,341.972,2.15148,0.5379,0.8225,1.70945,0.008317,0.008317,0.008317
36,350.814,2.14699,0.5403,0.8238,1.69485,0.0082675,0.0082675,0.0082675
37,360.214,2.14745,0.5396,0.8237,1.68545,0.008218,0.008218,0.008218
38,370.058,2.12907,0.5419,0.8236,1.69895,0.0081685,0.0081685,0.0081685
39,380.099,2.12435,0.5427,0.8217,1.68118,0.008119,0.008119,0.008119
40,389.605,2.14206,0.5458,0.823,1.68333,0.0080695,0.0080695,0.0080695
41,399.164,2.12909,0.5463,0.8232,1.68145,0.00802,0.00802,0.00802
42,408.211,2.1234,0.5448,0.8232,1.69539,0.0079705,0.0079705,0.0079705
43,417.748,2.12567,0.5462,0.8242,1.65775,0.007921,0.007921,0.007921
44,427.514,2.12094,0.5458,0.8249,1.66169,0.0078715,0.0078715,0.0078715
45,436.634,2.11891,0.5461,0.8247,1.6769,0.007822,0.007822,0.007822
46,445.498,2.11443,0.5473,0.8242,1.65779,0.0077725,0.0077725,0.0077725
47,454.552,2.10735,0.5459,0.8249,1.66614,0.007723,0.007723,0.007723
48,463.87,2.11475,0.5469,0.8256,1.67639,0.0076735,0.0076735,0.0076735
49,473.106,2.10528,0.5477,0.8272,1.6655,0.007624,0.007624,0.007624
50,482.522,2.10559,0.5482,0.8274,1.68291,0.0075745,0.0075745,0.0075745
51,492.042,2.07998,0.5479,0.8278,1.65032,0.007525,0.007525,0.007525
52,501.283,2.09315,0.5486,0.8277,1.66216,0.0074755,0.0074755,0.0074755
53,510.487,2.08482,0.5492,0.8291,1.6584,0.007426,0.007426,0.007426
54,520.316,2.08617,0.5494,0.8293,1.64031,0.0073765,0.0073765,0.0073765
55,529.576,2.07215,0.5492,0.8289,1.64407,0.007327,0.007327,0.007327
56,538.682,2.07943,0.549,0.8294,1.65952,0.0072775,0.0072775,0.0072775
57,547.88,2.05821,0.5491,0.8288,1.64702,0.007228,0.007228,0.007228
58,557.681,2.06457,0.5501,0.8289,1.63534,0.0071785,0.0071785,0.0071785
59,567.402,2.05763,0.5508,0.8292,1.64832,0.007129,0.007129,0.007129
60,576.794,2.0474,0.5517,0.8293,1.64368,0.0070795,0.0070795,0.0070795
61,586.786,2.06043,0.5514,0.8298,1.64072,0.00703,0.00703,0.00703
62,595.824,2.03956,0.5525,0.8306,1.63994,0.0069805,0.0069805,0.0069805
63,605.451,2.03438,0.5525,0.8296,1.64741,0.006931,0.006931,0.006931
64,614.401,2.0521,0.5524,0.8293,1.6313,0.0068815,0.0068815,0.0068815
65,623.449,2.04217,0.5529,0.8293,1.65601,0.006832,0.006832,0.006832
66,633.068,2.03424,0.5535,0.8295,1.63411,0.0067825,0.0067825,0.0067825
67,643.269,2.03371,0.554,0.8295,1.63782,0.006733,0.006733,0.006733
68,652.174,2.0168,0.5543,0.8302,1.63174,0.0066835,0.0066835,0.0066835
69,661.333,2.02284,0.5554,0.8304,1.64058,0.006634,0.006634,0.006634
