epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,305.826,0.72203,0.62957,1.11767,0.93224,0.78234,0.90709,0.71662,0.96772,0.7077,1.46816,0.00114853,0.00114853,0.00114853
43,313.086,0.70549,0.62202,1.1046,0.91199,0.83935,0.92386,0.73956,0.91932,0.66564,1.36078,0.00114605,0.00114605,0.00114605
44,320.325,0.70262,0.61644,1.10854,0.92871,0.79342,0.91952,0.74291,0.84883,0.64582,1.29427,0.00114357,0.00114357,0.00114357
45,327.632,0.72367,0.65587,1.11214,0.9258,0.86521,0.93028,0.74734,0.85143,0.65806,1.31585,0.0011411,0.0011411,0.0011411
46,334.912,0.70917,0.62266,1.09768,0.90454,0.82738,0.92706,0.73979,0.88724,0.61825,1.31066,0.00113863,0.00113863,0.00113863
47,342.197,0.69446,0.59684,1.09246,0.92165,0.83274,0.9251,0.75958,0.81351,0.63745,1.26321,0.00113615,0.00113615,0.00113615
48,349.556,0.69178,0.59516,1.08694,0.91258,0.8321,0.91265,0.73353,0.8651,0.69168,1.24792,0.00113368,0.00113368,0.00113368
49,356.835,0.68426,0.60286,1.0897,0.94893,0.83225,0.92219,0.74108,0.93167,0.65466,1.40297,0.0011312,0.0011312,0.0011312
50,364.093,0.71172,0.61111,1.10431,0.89922,0.81806,0.91721,0.73495,0.81875,0.61641,1.22413,0.00112873,0.00112873,0.00112873
51,371.38,0.7009,0.60261,1.09706,0.92874,0.76741,0.8985,0.71026,0.94478,0.65995,1.4547,0.00112625,0.00112625,0.00112625
52,378.647,0.70446,0.59759,1.09801,0.9079,0.85509,0.93554,0.75129,0.9175,0.58852,1.37506,0.00112378,0.00112378,0.00112378
53,385.926,0.69295,0.59392,1.0999,0.87449,0.82769,0.88756,0.71344,0.98027,0.70706,1.53587,0.0011213,0.0011213,0.0011213
54,393.201,0.69034,0.61297,1.10203,0.89414,0.83296,0.91643,0.73597,0.98691,0.79094,1.50951,0.00111882,0.00111882,0.00111882
55,400.536,0.68837,0.61729,1.09232,0.90593,0.82447,0.91274,0.74213,0.98016,0.64382,1.52623,0.00111635,0.00111635,0.00111635
56,407.88,0.67905,0.58778,1.09058,0.87455,0.81782,0.89155,0.73371,0.97742,0.98608,1.56137,0.00111388,0.00111388,0.00111388
57,415.28,0.67796,0.58557,1.08541,0.88576,0.83088,0.91882,0.76064,0.92289,0.89543,1.4036,0.0011114,0.0011114,0.0011114
58,422.607,0.68315,0.60327,1.09046,0.88882,0.86954,0.93269,0.75494,0.90455,0.57276,1.38723,0.00110892,0.00110892,0.00110892
59,429.874,0.68315,0.5664,1.08224,0.92018,0.85906,0.9282,0.75903,0.80367,0.56469,1.21685,0.00110645,0.00110645,0.00110645
60,437.173,0.6715,0.56542,1.08042,0.91205,0.81648,0.9188,0.73956,0.84967,0.65687,1.28031,0.00110397,0.00110397,0.00110397
61,444.612,0.6748,0.56707,1.07737,0.92182,0.87651,0.94273,0.76691,0.88324,0.62485,1.3722,0.0011015,0.0011015,0.0011015
62,451.864,0.66969,0.56824,1.07854,0.92839,0.84615,0.93262,0.75474,0.89869,0.57734,1.39075,0.00109903,0.00109903,0.00109903
63,459.14,0.67428,0.56524,1.0785,0.88598,0.88847,0.93441,0.75622,0.87829,0.69744,1.39162,0.00109655,0.00109655,0.00109655
64,466.489,0.66761,0.57227,1.07899,0.92739,0.84075,0.9345,0.75938,0.86964,0.56242,1.30665,0.00109408,0.00109408,0.00109408
65,474.08,0.67771,0.55968,1.08662,0.91827,0.83615,0.93952,0.75768,0.92715,0.72878,1.35624,0.0010916,0.0010916,0.0010916
66,481.648,0.67325,0.55827,1.08345,0.89789,0.84425,0.91554,0.73975,0.95585,0.59191,1.4123,0.00108913,0.00108913,0.00108913
67,489.016,0.6428,0.53664,1.07245,0.91394,0.84543,0.91921,0.76576,0.84545,0.5776,1.35259,0.00108665,0.00108665,0.00108665
68,496.404,0.66856,0.54688,1.07488,0.90073,0.8324,0.9134,0.74947,0.89078,0.60143,1.37986,0.00108417,0.00108417,0.00108417
69,503.768,0.6609,0.56024,1.07898,0.87979,0.87043,0.93431,0.77664,0.75761,0.56161,1.188,0.0010817,0.0010817,0.0010817
70,511.154,0.65962,0.5511,1.0749,0.88326,0.81328,0.90576,0.74134,0.92636,0.61331,1.52942,0.00107923,0.00107923,0.00107923
71,518.525,0.63983,0.54292,1.07283,0.88345,0.87731,0.9168,0.74565,0.95424,0.64473,1.57812,0.00107675,0.00107675,0.00107675
72,525.832,0.64156,0.53327,1.06243,0.93226,0.82886,0.92182,0.76156,0.89039,0.58342,1.40932,0.00107427,0.00107427,0.00107427
73,533.197,0.6561,0.54108,1.06651,0.92859,0.87172,0.93318,0.75531,0.88939,0.60611,1.34893,0.0010718,0.0010718,0.0010718
74,540.709,0.65268,0.53095,1.07084,0.93904,0.86975,0.93446,0.77879,0.82636,0.54943,1.29416,0.00106933,0.00106933,0.00106933
