epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
63,311.621,0.89956,0.6604,0.8968,1.26133,3.70752e-05,3.70752e-05,3.70752e-05
64,316.694,0.89767,0.6621,0.8951,1.25176,3.61248e-05,3.61248e-05,3.61248e-05
65,321.639,0.89437,0.6619,0.8965,1.25762,3.51744e-05,3.51744e-05,3.51744e-05
66,326.408,0.87714,0.6661,0.8984,1.24863,3.4224e-05,3.4224e-05,3.4224e-05
67,331.529,0.86507,0.6656,0.8981,1.24902,3.32736e-05,3.32736e-05,3.32736e-05
68,336.728,0.86766,0.6668,0.8976,1.25039,3.23232e-05,3.23232e-05,3.23232e-05
69,341.713,0.86514,0.6667,0.8959,1.25605,3.13728e-05,3.13728e-05,3.13728e-05
70,346.507,0.85655,0.6644,0.8977,1.25742,3.04224e-05,3.04224e-05,3.04224e-05
71,351.678,0.85178,0.6642,0.8965,1.24941,2.9472e-05,2.9472e-05,2.9472e-05
72,357.137,0.84115,0.6654,0.8977,1.25625,2.85216e-05,2.85216e-05,2.85216e-05
73,361.994,0.83169,0.6663,0.8974,1.25547,2.75712e-05,2.75712e-05,2.75712e-05
74,366.718,0.83794,0.6659,0.897,1.25605,2.66208e-05,2.66208e-05,2.66208e-05
75,372.028,0.83771,0.6654,0.897,1.26172,2.56704e-05,2.56704e-05,2.56704e-05
76,377.3,0.8219,0.667,0.897,1.25508,2.472e-05,2.472e-05,2.472e-05
77,382.567,0.82328,0.6671,0.8973,1.25508,2.37696e-05,2.37696e-05,2.37696e-05
78,387.465,0.81461,0.6696,0.8975,1.25098,2.28192e-05,2.28192e-05,2.28192e-05
79,392.425,0.81899,0.6704,0.896,1.25859,2.18688e-05,2.18688e-05,2.18688e-05
80,397.994,0.81295,0.6701,0.8977,1.25527,2.09184e-05,2.09184e-05,2.09184e-05
81,402.798,0.80463,0.6723,0.8978,1.25371,1.9968e-05,1.9968e-05,1.9968e-05
82,408.06,0.79968,0.6706,0.8979,1.25312,1.90176e-05,1.90176e-05,1.90176e-05
83,413.163,0.79521,0.6709,0.8985,1.2584,1.80672e-05,1.80672e-05,1.80672e-05
84,418.541,0.79447,0.67,0.8972,1.2541,1.71168e-05,1.71168e-05,1.71168e-05
85,423.286,0.79655,0.6687,0.8995,1.25547,1.61664e-05,1.61664e-05,1.61664e-05
86,428.707,0.7906,0.6711,0.9001,1.24883,1.5216e-05,1.5216e-05,1.5216e-05
87,434.066,0.78043,0.6731,0.9001,1.24961,1.42656e-05,1.42656e-05,1.42656e-05
88,438.836,0.7833,0.6721,0.899,1.25156,1.33152e-05,1.33152e-05,1.33152e-05
89,443.684,0.77946,0.6727,0.8989,1.25645,1.23648e-05,1.23648e-05,1.23648e-05
90,448.614,0.77255,0.676,0.8998,1.25273,1.14144e-05,1.14144e-05,1.14144e-05
91,455.812,0.76756,0.6735,0.8993,1.25176,1.0464e-05,1.0464e-05,1.0464e-05
92,461.156,0.76724,0.6725,0.9007,1.25586,9.5136e-06,9.5136e-06,9.5136e-06
93,466.199,0.77276,0.6726,0.8993,1.25625,8.5632e-06,8.5632e-06,8.5632e-06
94,471.522,0.77006,0.6738,0.8993,1.25215,7.6128e-06,7.6128e-06,7.6128e-06
95,476.617,0.76445,0.6728,0.8989,1.25762,6.6624e-06,6.6624e-06,6.6624e-06
96,481.588,0.75696,0.6747,0.8997,1.25449,5.712e-06,5.712e-06,5.712e-06
97,486.71,0.76506,0.6728,0.899,1.25547,4.7616e-06,4.7616e-06,4.7616e-06
98,492.098,0.76299,0.6727,0.8987,1.25781,3.8112e-06,3.8112e-06,3.8112e-06
99,496.972,0.75847,0.6719,0.8987,1.25762,2.8608e-06,2.8608e-06,2.8608e-06
100,502.276,0.76381,0.6723,0.8986,1.25645,1.9104e-06,1.9104e-06,1.9104e-06
