epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.6302,2.1985,0.4719,0.7737,1.96973,0.00331633,0.00331633,0.00331633
2,16.7823,2.16335,0.4703,0.7695,1.99009,0.00658383,0.00658383,0.00658383
3,25.078,2.17156,0.4585,0.7647,2.03242,0.00978533,0.00978533,0.00978533
4,33.2309,2.18732,0.4644,0.7656,2.00894,0.009703,0.009703,0.009703
5,41.0077,2.1834,0.4686,0.7723,1.98091,0.009604,0.009604,0.009604
6,48.9059,2.19009,0.4612,0.7665,2.0061,0.009505,0.009505,0.009505
7,57.3115,2.19006,0.4609,0.7673,1.99814,0.009406,0.009406,0.009406
8,65.4436,2.19455,0.4532,0.7634,2.02949,0.009307,0.009307,0.009307
9,73.6621,2.19935,0.4635,0.7681,1.98257,0.009208,0.009208,0.009208
10,82.0071,2.21082,0.4611,0.7603,2.01821,0.009109,0.009109,0.009109
11,90.1278,2.20575,0.4582,0.7606,2.03389,0.00901,0.00901,0.00901
12,98.3166,2.21866,0.4544,0.764,2.03306,0.008911,0.008911,0.008911
13,106.702,2.22433,0.4459,0.7528,2.09272,0.008812,0.008812,0.008812
14,114.774,2.23135,0.4609,0.7648,2.00977,0.008713,0.008713,0.008713
15,122.545,2.23578,0.4548,0.7591,2.05195,0.008614,0.008614,0.008614
16,130.465,2.24422,0.4576,0.7625,2.02437,0.008515,0.008515,0.008515
17,138.747,2.25571,0.4602,0.7662,2.00605,0.008416,0.008416,0.008416
18,146.859,2.26561,0.4468,0.7532,2.08511,0.008317,0.008317,0.008317
19,154.879,2.2681,0.4547,0.7602,2.05215,0.008218,0.008218,0.008218
20,163.025,2.27974,0.4646,0.7622,2.01758,0.008119,0.008119,0.008119
21,171.498,2.28521,0.458,0.7545,2.05103,0.00802,0.00802,0.00802
22,179.607,2.28091,0.4586,0.7643,2.01772,0.007921,0.007921,0.007921
23,187.838,2.29906,0.4651,0.7591,2.0126,0.007822,0.007822,0.007822
24,195.886,2.29757,0.4575,0.7593,2.0355,0.007723,0.007723,0.007723
25,204.28,2.29442,0.4618,0.7652,2.02402,0.007624,0.007624,0.007624
26,212.649,2.29939,0.4613,0.7614,2.02998,0.007525,0.007525,0.007525
27,220.72,2.3048,0.465,0.7664,2.0103,0.007426,0.007426,0.007426
28,229.081,2.30167,0.4652,0.7639,2.02002,0.007327,0.007327,0.007327
29,237.039,2.29624,0.4705,0.7712,1.99072,0.007228,0.007228,0.007228
30,245.037,2.31068,0.4724,0.7726,1.97334,0.007129,0.007129,0.007129
31,253.344,2.3079,0.4713,0.765,1.98345,0.00703,0.00703,0.00703
32,261.509,2.29678,0.4743,0.7772,1.94395,0.006931,0.006931,0.006931
33,269.603,2.30227,0.4716,0.767,1.99341,0.006832,0.006832,0.006832
34,277.504,2.29893,0.4778,0.7744,1.95034,0.006733,0.006733,0.006733
35,285.707,2.28398,0.4807,0.7797,1.9209,0.006634,0.006634,0.006634
36,293.934,2.28706,0.479,0.7812,1.93291,0.006535,0.006535,0.006535
37,302.163,2.28152,0.481,0.7779,1.93584,0.006436,0.006436,0.006436
38,309.944,2.26725,0.4839,0.785,1.90435,0.006337,0.006337,0.006337
39,318.076,2.26883,0.4865,0.7797,1.92827,0.006238,0.006238,0.006238
40,326.289,2.26883,0.4805,0.7826,1.91265,0.006139,0.006139,0.006139
41,334.619,2.26176,0.4899,0.7871,1.8959,0.00604,0.00604,0.00604
42,342.62,2.25992,0.492,0.79,1.89009,0.005941,0.005941,0.005941
43,350.576,2.25533,0.4903,0.7874,1.88154,0.005842,0.005842,0.005842
44,358.518,2.23764,0.4889,0.7875,1.88789,0.005743,0.005743,0.005743
45,366.481,2.22988,0.4922,0.7926,1.87715,0.005644,0.005644,0.005644
46,374.452,2.22683,0.4957,0.7888,1.85952,0.005545,0.005545,0.005545
47,382.505,2.2172,0.4927,0.7896,1.86694,0.005446,0.005446,0.005446
48,390.613,2.20788,0.502,0.7922,1.86177,0.005347,0.005347,0.005347
49,398.985,2.19655,0.5043,0.796,1.84658,0.005248,0.005248,0.005248
50,407.188,2.20601,0.5043,0.7925,1.84546,0.005149,0.005149,0.005149
51,415.441,2.19612,0.5031,0.7957,1.83086,0.00505,0.00505,0.00505
52,423.589,2.18269,0.5061,0.7969,1.82666,0.004951,0.004951,0.004951
53,431.524,2.18017,0.5048,0.7968,1.83276,0.004852,0.004852,0.004852
54,439.628,2.16169,0.5016,0.7945,1.82754,0.004753,0.004753,0.004753
55,447.792,2.16073,0.5074,0.799,1.8208,0.004654,0.004654,0.004654
56,456.11,2.15451,0.509,0.8021,1.81958,0.004555,0.004555,0.004555
57,463.943,2.15328,0.5071,0.7971,1.81592,0.004456,0.004456,0.004456
58,472.105,2.14177,0.5117,0.8018,1.8042,0.004357,0.004357,0.004357
59,480.542,2.12046,0.5126,0.8033,1.80381,0.004258,0.004258,0.004258
60,488.926,2.11364,0.5109,0.8041,1.79868,0.004159,0.004159,0.004159
61,497.264,2.11398,0.5122,0.8049,1.79517,0.00406,0.00406,0.00406
62,505.56,2.09275,0.5141,0.8055,1.79346,0.003961,0.003961,0.003961
63,513.741,2.10163,0.5155,0.804,1.79106,0.003862,0.003862,0.003862
64,521.865,2.08939,0.5159,0.8033,1.78477,0.003763,0.003763,0.003763
65,530.04,2.07365,0.5162,0.8043,1.78228,0.003664,0.003664,0.003664
66,538.175,2.06621,0.5162,0.8049,1.77529,0.003565,0.003565,0.003565
67,546.43,2.06035,0.5187,0.8062,1.77012,0.003466,0.003466,0.003466
68,554.567,2.05082,0.5172,0.8074,1.76602,0.003367,0.003367,0.003367
69,562.675,2.0424,0.518,0.8086,1.7647,0.003268,0.003268,0.003268
70,570.625,2.03175,0.5181,0.8074,1.76699,0.003169,0.003169,0.003169
71,578.68,2.02879,0.5186,0.8079,1.76523,0.00307,0.00307,0.00307
72,586.932,2.01745,0.5195,0.8084,1.7582,0.002971,0.002971,0.002971
73,595.36,1.99487,0.5211,0.8091,1.75308,0.002872,0.002872,0.002872
74,603.336,1.98432,0.5228,0.8105,1.75015,0.002773,0.002773,0.002773
75,611.335,1.97633,0.5235,0.8129,1.74897,0.002674,0.002674,0.002674
76,620.178,1.97279,0.5236,0.8128,1.74351,0.002575,0.002575,0.002575
77,628.27,1.96183,0.5241,0.8123,1.74375,0.002476,0.002476,0.002476
78,636.268,1.93975,0.5262,0.8121,1.7437,0.002377,0.002377,0.002377
79,644.704,1.92811,0.526,0.8135,1.7355,0.002278,0.002278,0.002278
80,652.898,1.91279,0.5269,0.8137,1.73569,0.002179,0.002179,0.002179
81,660.983,1.91336,0.5278,0.8152,1.7311,0.00208,0.00208,0.00208
82,669.232,1.90207,0.5279,0.8146,1.73608,0.001981,0.001981,0.001981
83,677.217,1.88179,0.5295,0.8155,1.7272,0.001882,0.001882,0.001882
84,685.699,1.87812,0.5305,0.817,1.72793,0.001783,0.001783,0.001783
85,694.334,1.86646,0.5305,0.818,1.7228,0.001684,0.001684,0.001684
86,702.562,1.84309,0.5305,0.8186,1.72026,0.001585,0.001585,0.001585
87,711.136,1.84096,0.531,0.8183,1.72417,0.001486,0.001486,0.001486
88,719.749,1.82607,0.5313,0.8185,1.72046,0.001387,0.001387,0.001387
89,728.029,1.80665,0.5329,0.8189,1.71631,0.001288,0.001288,0.001288
90,736.139,1.79957,0.534,0.8196,1.71563,0.001189,0.001189,0.001189
91,744.74,1.78075,0.5351,0.8203,1.71367,0.00109,0.00109,0.00109
92,752.632,1.77407,0.5353,0.8205,1.70962,0.000991,0.000991,0.000991
93,760.912,1.75452,0.5357,0.8204,1.70796,0.000892,0.000892,0.000892
94,769.501,1.73441,0.5362,0.8218,1.70503,0.000793,0.000793,0.000793
95,777.651,1.72643,0.5357,0.8225,1.70459,0.000694,0.000694,0.000694
96,785.852,1.70105,0.537,0.8225,1.70425,0.000595,0.000595,0.000595
97,794.014,1.6902,0.5358,0.8223,1.70151,0.000496,0.000496,0.000496
98,802.431,1.68153,0.5366,0.8223,1.70283,0.000397,0.000397,0.000397
99,810.844,1.6688,0.537,0.8225,1.70347,0.000298,0.000298,0.000298
100,819.529,1.64743,0.5364,0.8221,1.69736,0.000199,0.000199,0.000199
