epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1186.55,0.74753,0.68701,1.19977,0.9018,0.83039,0.91107,0.72528,0.89525,0.61988,1.34741,0.00114853,0.00114853,0.00114853
43,1214.85,0.73737,0.6897,1.19451,0.89027,0.85344,0.91213,0.71909,0.88491,0.68286,1.34129,0.00114605,0.00114605,0.00114605
44,1243,0.73908,0.69525,1.19734,0.85542,0.80173,0.89556,0.72108,0.78439,0.70444,1.26651,0.00114357,0.00114357,0.00114357
45,1271.17,0.74835,0.68396,1.18992,0.80819,0.71854,0.79926,0.62094,0.95047,1.64712,1.5431,0.0011411,0.0011411,0.0011411
46,1299.4,0.7263,0.67102,1.17244,0.87511,0.83878,0.90314,0.72454,0.82863,0.6635,1.30748,0.00113863,0.00113863,0.00113863
47,1327.57,0.7202,0.66288,1.17575,0.93572,0.82297,0.92279,0.74692,0.82691,0.56416,1.3141,0.00113615,0.00113615,0.00113615
48,1355.84,0.73647,0.65721,1.17972,0.88543,0.82535,0.91177,0.73666,0.82833,0.67924,1.26501,0.00113368,0.00113368,0.00113368
49,1384.02,0.71063,0.64838,1.17226,0.88062,0.85072,0.91709,0.7282,0.91192,0.63992,1.34217,0.0011312,0.0011312,0.0011312
50,1412.16,0.72325,0.64317,1.17596,0.90788,0.80522,0.92009,0.74762,0.85804,0.57092,1.32499,0.00112873,0.00112873,0.00112873
51,1440.41,0.71103,0.64521,1.17004,0.90779,0.82446,0.91357,0.72225,0.89354,0.59137,1.41144,0.00112625,0.00112625,0.00112625
52,1468.56,0.71675,0.63791,1.17394,0.89471,0.85026,0.92629,0.74819,0.84441,0.55126,1.4661,0.00112378,0.00112378,0.00112378
53,1496.82,0.71931,0.64438,1.18014,0.90084,0.79126,0.90886,0.7377,0.85199,0.61159,1.34046,0.0011213,0.0011213,0.0011213
54,1525.07,0.698,0.62907,1.16574,0.87958,0.83703,0.91018,0.74052,0.88103,0.65785,1.36958,0.00111882,0.00111882,0.00111882
55,1553.23,0.69942,0.65076,1.16323,0.88989,0.84735,0.91678,0.73752,0.96619,0.70393,1.40482,0.00111635,0.00111635,0.00111635
56,1581.38,0.69896,0.63667,1.169,0.92222,0.83246,0.92221,0.76234,0.83353,0.55802,1.38387,0.00111388,0.00111388,0.00111388
57,1609.7,0.70954,0.62036,1.17489,0.87983,0.8184,0.88675,0.72667,0.85078,0.70988,1.39565,0.0011114,0.0011114,0.0011114
58,1637.91,0.69158,0.63305,1.16041,0.90638,0.7729,0.88427,0.70904,0.87059,0.72998,1.378,0.00110892,0.00110892,0.00110892
59,1666.15,0.68239,0.61529,1.14978,0.91506,0.81759,0.9103,0.75646,0.81188,0.56923,1.35051,0.00110645,0.00110645,0.00110645
60,1694.35,0.66569,0.5981,1.14149,0.89593,0.79296,0.89085,0.715,0.89084,1.14749,1.4402,0.00110397,0.00110397,0.00110397
61,1722.51,0.69293,0.608,1.15078,0.912,0.84563,0.93192,0.75812,0.86338,0.61007,1.33318,0.0011015,0.0011015,0.0011015
62,1750.72,0.68874,0.61698,1.15601,0.90199,0.83573,0.91445,0.74,0.87867,0.59873,1.35308,0.00109903,0.00109903,0.00109903
63,1778.91,0.67118,0.60999,1.1413,0.89965,0.84401,0.90334,0.7324,0.84376,0.59391,1.40366,0.00109655,0.00109655,0.00109655
64,1807.06,0.68357,0.59868,1.15692,0.91633,0.8471,0.91804,0.74378,0.86032,0.57236,1.42693,0.00109408,0.00109408,0.00109408
65,1835.29,0.68152,0.59093,1.15539,0.88951,0.81281,0.89545,0.72499,0.82105,0.66033,1.29357,0.0010916,0.0010916,0.0010916
66,1863.45,0.67994,0.60136,1.15346,0.86657,0.8372,0.90228,0.73193,0.83776,0.58494,1.33738,0.00108913,0.00108913,0.00108913
67,1891.61,0.65184,0.56703,1.13042,0.88928,0.84745,0.92257,0.73461,0.90508,0.56163,1.40486,0.00108665,0.00108665,0.00108665
68,1919.8,0.69824,0.59348,1.15542,0.90007,0.84728,0.9208,0.75093,0.85212,0.54772,1.27414,0.00108417,0.00108417,0.00108417
69,1948.04,0.66836,0.58444,1.14466,0.94193,0.80739,0.92208,0.74716,0.79564,0.53242,1.25801,0.0010817,0.0010817,0.0010817
70,1976.26,0.6643,0.57345,1.14059,0.93487,0.82694,0.91935,0.75503,0.76918,0.53487,1.17318,0.00107923,0.00107923,0.00107923
71,2004.42,0.64128,0.5798,1.12585,0.87548,0.86789,0.91349,0.76032,0.82024,0.56215,1.36138,0.00107675,0.00107675,0.00107675
72,2032.58,0.64353,0.56146,1.11944,0.86544,0.86264,0.92449,0.74846,0.84176,0.57161,1.38339,0.00107427,0.00107427,0.00107427
73,2060.74,0.65624,0.57364,1.13002,0.89846,0.84711,0.91885,0.75362,0.86186,0.58156,1.3424,0.0010718,0.0010718,0.0010718
74,2088.97,0.65885,0.56037,1.13956,0.88385,0.84338,0.89897,0.73599,0.84441,0.605,1.30781,0.00106933,0.00106933,0.00106933
75,2117.14,0.64015,0.555,1.11918,0.89046,0.87533,0.92938,0.76634,0.83897,0.50796,1.39142,0.00106685,0.00106685,0.00106685
76,2145.42,0.63699,0.55963,1.11157,0.91338,0.86559,0.93445,0.77796,0.8369,0.52433,1.35526,0.00106437,0.00106437,0.00106437
77,2173.68,0.63314,0.54872,1.11705,0.8923,0.84362,0.91763,0.75692,0.75514,0.60609,1.26457,0.0010619,0.0010619,0.0010619
78,2201.84,0.63608,0.5519,1.11456,0.87257,0.86207,0.92749,0.75952,0.83192,0.5371,1.4016,0.00105942,0.00105942,0.00105942
79,2230,0.6178,0.53738,1.11848,0.8873,0.8541,0.91827,0.76022,0.79737,0.65052,1.19731,0.00105695,0.00105695,0.00105695
80,2258.17,0.6275,0.56241,1.11381,0.91252,0.85842,0.92702,0.76165,0.82313,0.55643,1.34355,0.00105448,0.00105448,0.00105448
81,2286.33,0.61758,0.52865,1.10433,0.93624,0.79914,0.92007,0.76072,0.80352,0.56198,1.30277,0.001052,0.001052,0.001052
82,2314.49,0.62632,0.53955,1.11377,0.89958,0.85324,0.9142,0.74732,0.85523,0.55748,1.31639,0.00104952,0.00104952,0.00104952
83,2342.65,0.63156,0.54464,1.1159,0.87002,0.88373,0.9337,0.77233,0.73032,0.65159,1.21171,0.00104705,0.00104705,0.00104705
84,2370.86,0.63948,0.56481,1.12498,0.91051,0.80014,0.90822,0.7522,0.82445,0.57028,1.34713,0.00104458,0.00104458,0.00104458
85,2399.08,0.63144,0.52824,1.11809,0.87508,0.87308,0.93146,0.77552,0.68547,0.53183,1.17122,0.0010421,0.0010421,0.0010421
86,2427.3,0.63505,0.54524,1.11875,0.91138,0.85255,0.92546,0.76784,0.81393,0.47267,1.31163,0.00103962,0.00103962,0.00103962
87,2455.49,0.63407,0.53804,1.10898,0.92515,0.86121,0.94325,0.77883,0.80945,0.48671,1.3413,0.00103715,0.00103715,0.00103715
88,2483.73,0.629,0.53434,1.11381,0.86339,0.83872,0.89465,0.73797,0.87939,0.63691,1.32195,0.00103468,0.00103468,0.00103468
89,2511.89,0.61498,0.52418,1.09903,0.92655,0.84487,0.93541,0.77912,0.81289,0.51758,1.35011,0.0010322,0.0010322,0.0010322
90,2540.12,0.61823,0.52679,1.09909,0.88524,0.87663,0.93686,0.77994,0.81466,0.5058,1.33871,0.00102972,0.00102972,0.00102972
91,2568.37,0.63049,0.54923,1.11976,0.92993,0.81457,0.90739,0.76095,0.7834,0.60109,1.25949,0.00102725,0.00102725,0.00102725
92,2596.55,0.62252,0.53162,1.10945,0.93209,0.82835,0.91671,0.76648,0.77661,0.51814,1.33013,0.00102478,0.00102478,0.00102478
93,2624.7,0.60142,0.53497,1.10038,0.91933,0.85682,0.93625,0.78279,0.79222,0.48756,1.33108,0.0010223,0.0010223,0.0010223
94,2652.94,0.62546,0.52238,1.11093,0.9228,0.87349,0.94088,0.77956,0.81655,0.5485,1.27318,0.00101983,0.00101983,0.00101983
95,2681.12,0.59276,0.49179,1.08778,0.91145,0.89018,0.9426,0.79825,0.74466,0.46217,1.23357,0.00101735,0.00101735,0.00101735
96,2709.41,0.59554,0.49959,1.09365,0.93995,0.86846,0.93532,0.78049,0.78254,0.48243,1.33037,0.00101488,0.00101488,0.00101488
97,2737.58,0.57914,0.50813,1.07895,0.90802,0.87814,0.92621,0.7619,0.81859,0.51579,1.26145,0.0010124,0.0010124,0.0010124
98,2765.77,0.60477,0.49683,1.09888,0.92561,0.85845,0.93081,0.76891,0.75787,0.52497,1.24818,0.00100993,0.00100993,0.00100993
99,2793.99,0.60807,0.49705,1.10295,0.92878,0.83989,0.92638,0.77454,0.80186,0.51896,1.43042,0.00100745,0.00100745,0.00100745
100,2822.17,0.5882,0.50029,1.08988,0.92281,0.87624,0.92588,0.76636,0.84446,0.50006,1.40558,0.00100497,0.00100497,0.00100497
101,2850.4,0.57301,0.46348,1.07602,0.92382,0.86359,0.93191,0.77321,0.81829,0.49387,1.33266,0.0010025,0.0010025,0.0010025
102,2878.56,0.59209,0.49792,1.08786,0.93923,0.84509,0.94417,0.78164,0.82067,0.47845,1.35348,0.00100003,0.00100003,0.00100003
103,2906.79,0.61122,0.50555,1.10681,0.91106,0.85074,0.91588,0.75485,0.81339,0.51812,1.37652,0.00099755,0.00099755,0.00099755
104,2934.95,0.58234,0.49571,1.08284,0.90376,0.85715,0.92736,0.76844,0.78661,0.4989,1.32411,0.000995075,0.000995075,0.000995075
105,2963.1,0.59073,0.49675,1.09024,0.91078,0.83636,0.93525,0.77739,0.92717,0.56082,1.46459,0.0009926,0.0009926,0.0009926
106,2991.25,0.5914,0.48173,1.08779,0.931,0.85952,0.93276,0.77122,0.86107,0.51739,1.42595,0.000990125,0.000990125,0.000990125
107,3019.39,0.58769,0.47279,1.09242,0.90514,0.85749,0.93568,0.78602,0.81894,0.50163,1.36135,0.00098765,0.00098765,0.00098765
108,3047.55,0.58876,0.50399,1.09372,0.90206,0.87083,0.93394,0.7732,0.78452,0.51783,1.25657,0.000985175,0.000985175,0.000985175
109,3075.71,0.5673,0.46208,1.07361,0.95086,0.87943,0.94926,0.79595,0.77431,0.46295,1.30111,0.0009827,0.0009827,0.0009827
110,3103.85,0.57627,0.47093,1.07268,0.91588,0.88384,0.93757,0.77848,0.82175,0.48382,1.37227,0.000980225,0.000980225,0.000980225
111,3132.02,0.57734,0.4747,1.08349,0.93312,0.89838,0.94816,0.78667,0.795,0.46476,1.34652,0.00097775,0.00097775,0.00097775
112,3160.16,0.57184,0.47412,1.07448,0.93069,0.89752,0.94551,0.80115,0.75942,0.45681,1.27492,0.000975275,0.000975275,0.000975275
113,3188.4,0.56973,0.47241,1.07654,0.93482,0.87305,0.93284,0.78262,0.78015,0.47589,1.27822,0.0009728,0.0009728,0.0009728
114,3216.54,0.59671,0.48408,1.08184,0.92148,0.83958,0.93002,0.78063,0.81403,0.53006,1.35641,0.000970325,0.000970325,0.000970325
115,3244.7,0.59223,0.48892,1.09381,0.89714,0.89032,0.94732,0.79539,0.78245,0.45335,1.29832,0.00096785,0.00096785,0.00096785
116,3272.92,0.57098,0.47467,1.07651,0.92318,0.87444,0.93027,0.78704,0.76625,0.50861,1.28262,0.000965375,0.000965375,0.000965375
117,3301.07,0.57356,0.47998,1.08373,0.90918,0.82675,0.91185,0.76502,0.74132,0.56687,1.21633,0.0009629,0.0009629,0.0009629
118,3329.2,0.5638,0.4667,1.07953,0.90702,0.8821,0.94,0.80111,0.7756,0.51702,1.2499,0.000960425,0.000960425,0.000960425
119,3357.44,0.55967,0.46253,1.07386,0.91757,0.89565,0.94542,0.78822,0.7927,0.45246,1.36406,0.00095795,0.00095795,0.00095795
120,3385.65,0.5857,0.48196,1.08288,0.94399,0.86075,0.93716,0.77797,0.80025,0.46077,1.30905,0.000955475,0.000955475,0.000955475
121,3413.81,0.5593,0.47164,1.07782,0.92926,0.88652,0.93914,0.78883,0.82278,0.49822,1.37565,0.000953,0.000953,0.000953
122,3441.95,0.54238,0.45039,1.06683,0.91087,0.89274,0.93727,0.79959,0.78442,0.4654,1.40052,0.000950525,0.000950525,0.000950525
123,3470.1,0.56185,0.45581,1.06672,0.94549,0.85747,0.93222,0.78026,0.82166,0.46957,1.41972,0.00094805,0.00094805,0.00094805
124,3498.24,0.55444,0.44108,1.06826,0.93583,0.85955,0.9327,0.77897,0.81943,0.49092,1.4261,0.000945575,0.000945575,0.000945575
125,3526.43,0.55858,0.44783,1.06712,0.92443,0.8777,0.93767,0.78497,0.78709,0.47025,1.40014,0.0009431,0.0009431,0.0009431
126,3554.57,0.54755,0.45397,1.06182,0.90467,0.87478,0.93491,0.79177,0.7478,0.48093,1.30846,0.000940625,0.000940625,0.000940625
127,3582.73,0.54927,0.45545,1.06168,0.92727,0.86257,0.9266,0.77879,0.80366,0.50359,1.32244,0.00093815,0.00093815,0.00093815
128,3610.95,0.54834,0.44904,1.06776,0.92797,0.86596,0.93012,0.78991,0.78813,0.52258,1.27005,0.000935675,0.000935675,0.000935675
129,3639.1,0.55916,0.45023,1.0646,0.92577,0.83669,0.93045,0.78514,0.81241,0.51713,1.3853,0.0009332,0.0009332,0.0009332
130,3667.27,0.56141,0.45211,1.0745,0.90899,0.89862,0.94105,0.80316,0.77026,0.45584,1.3668,0.000930725,0.000930725,0.000930725
131,3695.52,0.55094,0.44328,1.05645,0.91262,0.90903,0.94531,0.80367,0.8007,0.45552,1.32844,0.00092825,0.00092825,0.00092825
132,3723.76,0.54517,0.45254,1.0561,0.93472,0.8724,0.9419,0.8006,0.80067,0.46885,1.32768,0.000925775,0.000925775,0.000925775
133,3751.91,0.54086,0.43187,1.05276,0.93643,0.89867,0.95843,0.80846,0.88594,0.77008,1.42212,0.0009233,0.0009233,0.0009233
134,3780.13,0.54395,0.44126,1.06747,0.92269,0.91165,0.9541,0.80598,0.79279,0.44839,1.35925,0.000920825,0.000920825,0.000920825
135,3808.36,0.53944,0.43854,1.058,0.93033,0.87216,0.93862,0.79525,0.79228,0.47971,1.37932,0.00091835,0.00091835,0.00091835
136,3836.51,0.56091,0.46062,1.06901,0.90964,0.87296,0.93812,0.80369,0.78732,0.46596,1.35172,0.000915875,0.000915875,0.000915875
137,3864.66,0.54121,0.44188,1.05746,0.90687,0.85889,0.92495,0.77923,0.82491,0.55828,1.34363,0.0009134,0.0009134,0.0009134
138,3892.88,0.54826,0.46014,1.07204,0.95624,0.84369,0.93597,0.78723,0.78706,0.46636,1.28679,0.000910925,0.000910925,0.000910925
139,3921.04,0.5505,0.45349,1.0616,0.89917,0.87408,0.93415,0.79293,0.77904,0.51466,1.36654,0.00090845,0.00090845,0.00090845
140,3949.17,0.54008,0.43785,1.05426,0.93779,0.86942,0.93946,0.79272,0.82346,0.46943,1.35427,0.000905975,0.000905975,0.000905975
141,3977.35,0.54236,0.43624,1.05479,0.91231,0.88799,0.93559,0.79304,0.89506,0.46562,1.39566,0.0009035,0.0009035,0.0009035
142,4005.5,0.54718,0.42961,1.05849,0.88704,0.89839,0.94133,0.79954,0.80029,0.4731,1.38277,0.000901025,0.000901025,0.000901025
143,4033.65,0.52156,0.40766,1.05079,0.93282,0.84338,0.9417,0.80688,0.79854,0.50198,1.25721,0.00089855,0.00089855,0.00089855
144,4061.81,0.53977,0.41533,1.04378,0.91535,0.88886,0.93863,0.80177,0.75613,0.47357,1.23608,0.000896075,0.000896075,0.000896075
145,4089.96,0.53057,0.41679,1.04772,0.94265,0.87752,0.95214,0.80146,0.7471,0.45517,1.23426,0.0008936,0.0008936,0.0008936
146,4118.11,0.54133,0.43785,1.05475,0.88159,0.92561,0.94525,0.79481,0.77369,0.46015,1.32373,0.000891125,0.000891125,0.000891125
147,4146.27,0.52404,0.43066,1.04994,0.92061,0.90072,0.94735,0.80486,0.79495,0.45844,1.39416,0.00088865,0.00088865,0.00088865
148,4174.45,0.53279,0.4223,1.05014,0.91561,0.90539,0.94586,0.79642,0.79438,0.47825,1.41245,0.000886175,0.000886175,0.000886175
149,4202.7,0.51938,0.41926,1.04838,0.95178,0.86482,0.93967,0.79314,0.78327,0.4462,1.39476,0.0008837,0.0008837,0.0008837
150,4230.85,0.53468,0.41795,1.05619,0.94902,0.88819,0.95469,0.8099,0.7704,0.43652,1.31589,0.000881225,0.000881225,0.000881225
151,4259.11,0.52278,0.41494,1.05431,0.91292,0.91511,0.94744,0.80992,0.77981,0.44385,1.28153,0.00087875,0.00087875,0.00087875
152,4287.34,0.5204,0.42104,1.04805,0.94237,0.89263,0.95562,0.80554,0.83022,0.452,1.35131,0.000876275,0.000876275,0.000876275
153,4315.58,0.52973,0.43166,1.06831,0.91666,0.89693,0.94539,0.80163,0.77364,0.44716,1.3907,0.0008738,0.0008738,0.0008738
154,4343.73,0.5418,0.42689,1.05891,0.94162,0.8459,0.93265,0.79234,0.79014,0.4956,1.38119,0.000871325,0.000871325,0.000871325
