epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.6273,4.48286,0.1988,0.4717,3.40019,0.00333227,0.00333227,0.00333227
2,104.298,3.87117,0.1988,0.4644,3.43316,0.00659961,0.00659961,0.00659961
3,151.478,4.14207,0.0812,0.2645,4.05321,0.00980095,0.00980095,0.00980095
4,197.887,4.24914,0.1053,0.3131,3.8818,0.009703,0.009703,0.009703
5,243.629,4.13288,0.1448,0.3983,3.59917,0.009604,0.009604,0.009604
6,289.157,3.97431,0.1779,0.4699,3.38963,0.009505,0.009505,0.009505
7,333.686,3.81052,0.2336,0.5306,3.16554,0.009406,0.009406,0.009406
8,377.13,3.72613,0.2387,0.548,3.1108,0.009307,0.009307,0.009307
9,419.537,3.64559,0.2642,0.5735,2.9871,0.009208,0.009208,0.009208
10,460.552,3.56776,0.2724,0.5894,2.91937,0.009109,0.009109,0.009109
11,501.195,3.53758,0.2859,0.607,2.86249,0.00901,0.00901,0.00901
12,542.53,3.49525,0.2937,0.6049,2.84183,0.008911,0.008911,0.008911
13,584.163,3.49317,0.3051,0.6225,2.77704,0.008812,0.008812,0.008812
14,627.404,3.4876,0.3003,0.6151,2.80726,0.008713,0.008713,0.008713
15,669.839,3.4221,0.3033,0.6163,2.79604,0.008614,0.008614,0.008614
16,711.943,3.38391,0.3117,0.6281,2.7556,0.008515,0.008515,0.008515
17,753.025,3.35694,0.3164,0.6372,2.72461,0.008416,0.008416,0.008416
18,795.7,3.35787,0.3231,0.6443,2.6945,0.008317,0.008317,0.008317
19,840.737,3.34205,0.3281,0.6549,2.66537,0.008218,0.008218,0.008218
20,885.183,3.3342,0.3342,0.6607,2.64188,0.008119,0.008119,0.008119
21,930.839,3.32347,0.3396,0.6648,2.62892,0.00802,0.00802,0.00802
22,974.526,3.30799,0.3425,0.6673,2.624,0.007921,0.007921,0.007921
23,1019.99,3.25542,0.3418,0.6671,2.62282,0.007822,0.007822,0.007822
24,1064.51,3.24694,0.3409,0.6673,2.62071,0.007723,0.007723,0.007723
25,1109.41,3.23714,0.3419,0.6675,2.61938,0.007624,0.007624,0.007624
26,1152.85,3.17076,0.3429,0.6677,2.61652,0.007525,0.007525,0.007525
27,1198.15,3.22413,0.3439,0.669,2.61191,0.007426,0.007426,0.007426
28,1243.68,3.18999,0.3464,0.6712,2.60257,0.007327,0.007327,0.007327
29,1288.39,3.24779,0.3476,0.6721,2.60038,0.007228,0.007228,0.007228
30,1332.12,3.27391,0.3499,0.6726,2.59311,0.007129,0.007129,0.007129
31,1375.38,3.18846,0.3499,0.6745,2.58686,0.00703,0.00703,0.00703
32,1418.39,3.13905,0.3513,0.6769,2.5793,0.006931,0.006931,0.006931
33,1462.55,3.12169,0.3535,0.6778,2.57568,0.006832,0.006832,0.006832
34,1508.15,3.15946,0.3548,0.6781,2.57293,0.006733,0.006733,0.006733
35,1552.95,3.18856,0.3561,0.6774,2.57398,0.006634,0.006634,0.006634
36,1596.41,3.15143,0.3563,0.677,2.5717,0.006535,0.006535,0.006535
37,1640.36,3.14917,0.3574,0.6784,2.56733,0.006436,0.006436,0.006436
38,1684.96,3.13039,0.3583,0.6815,2.56052,0.006337,0.006337,0.006337
39,1727.61,3.12129,0.3622,0.6832,2.55108,0.006238,0.006238,0.006238
40,1771.64,3.09862,0.3659,0.684,2.54373,0.006139,0.006139,0.006139
41,1817.15,3.12474,0.3689,0.6864,2.534,0.00604,0.00604,0.00604
42,1860.73,3.22361,0.3692,0.6858,2.5291,0.005941,0.005941,0.005941
43,1905.84,3.1537,0.3694,0.6876,2.52347,0.005842,0.005842,0.005842
44,1951.32,3.12197,0.3691,0.688,2.51615,0.005743,0.005743,0.005743
45,1995.63,3.07617,0.3692,0.6889,2.51023,0.005644,0.005644,0.005644
46,2038.23,3.08868,0.3702,0.6924,2.50129,0.005545,0.005545,0.005545
47,2084.07,3.02931,0.3711,0.6931,2.49266,0.005446,0.005446,0.005446
